Section,Designators (per board),Description,Value / Part,Package,Qty per board,Qty system,Unit price USD,Ext price USD,Notes,LCSC part no,LCSC MPN,LCSC package,LCSC stock,LCSC unit price USD,LCSC ext price USD,LCSC notes
"Daughterboard (x8)","U13-U16","Per-channel sense buffer, 2 ch per package",OPA2333,VSON-8 3x3mm,4,32,TBD,,"NEW 2026-08-04: unity-gain followers between the 6:1 divider tap and the AD7193 AIN pins, one half per channel. Removes the AD7193 buffered-input bias-current x 16.7k source-impedance term. Was entirely absent from this BOM until now.",TBD,,VSON-8,,,,"*** LCSC PART NOT RESOLVED - needs a lookup before ordering. The schematic value reads 'OPA2333xxDRB', which is the KiCad symbol name, not an orderable MPN. DRB = VSON-8 (3x3), matching the placed footprint (8 pins + exposed pad tied to GND, correct since GND is V- here). Real orderable is OPA2333AIDRBR (reel) / -T (tape). Confirm LCSC actually stocks the DRB package - the DGK (VSSOP-8) and D (SOIC-8) variants are far more commonly stocked and switching to either would require a footprint change. NOT PRICED, so excluded from both totals below."
"Daughterboard (x8)","R28-R35",AIN anti-alias series resistor (post-buffer),1k,0603,8,64,TBD,,"NEW 2026-08-04 with the OPA2333 buffer stage. VALUE CHANGED 100 -> 1k 2026-08-04: paired with 100nF this puts the AIN anti-alias corner at 1.59 kHz (was 339 kHz at 100R/4.7nF, which gave no attenuation at either the OPA333 chop or the AD7193 modulator rate). Schematic + PCB value fields updated 2026-08-04.",TBD,,0603,,,,"*** LCSC PART NOT RESOLVED - do not order from this row. These parts previously carried C154077, which is WRONG: C154077 is the 20k used by R5-R8/R13-R16 (see production/bom.csv), inherited by copy-paste when the symbols were created. The field has been cleared rather than guessed. Tolerance and TCR are irrelevant here - no DC current flows into the AD7193's GOhm buffered input except nA-class bias, so any 1k 0603 works and a 1% jellybean is fine. Candidates to look up: YAGEO RC0603FR-071KL, or UNI-ROYAL 0603WAF1001T5E per the code scheme documented on the R27 row. Expect <$0.01/pc. NOT PRICED, so excluded from both totals below."
"Daughterboard (x8)","C1-C10, C12, C14-C15, C17-C22, C24, C26-C33",Decoupling capacitor MLCC 50V + AIN anti-alias caps,100nF (Wurth 885012206095R),0603,28,224,0.045,10.08,"RS 257-1100 (0.431 kr); C24 added 2026-07-27; C9 ADDED 2026-07-30 - it is 0.1uF (C14663) on VREF, was wrongly grouped with the 10uF bulk line; C26-C33 ADDED 2026-08-04 - the per-channel AIN filter caps, value changed 4.7nF -> 100nF so they fold onto this reel instead of needing a new line item",C14663,CC0603KRX7R9BB104,0603,1723600,0.0242,5.42,"YAGEO 100nF 50V X7R +/-10% - same spec as the Wurth part. MOQ 50. Saves $3.16. Tiers: 500+ $0.0203, 1500+ $0.0186 (224 units is still under the 500 break, so 0.0242 holds). Qty corrected 19->20/board (152->160) when C9 was moved here from the 10uF line, then 20->28/board (160->224) when C26-C33 joined 2026-08-04. X7R is correct for C26-C33 despite being a signal-path filter: the OPA333 drives that node continuously and the AD7193 runs BUF=1, so the cap never has to slew or recover from mux kickback - dielectric absorption has no settling tail to distort, and the voltage coefficient only shifts the corner, it does not create a DC error. 100nF C0G does not exist in 0603 anyway (same reason C17/C18 went X7R)."
"Daughterboard (x8)","C11, C13, C16, C23",Capacitor MLCC 50V 10%,1uF (RS PRO RSMC03KTB500105),0603,4,32,0.047,1.51,RS 271-0969 (0.457 kr),C15849,CL10A105KB8NNNC,0603,5650,0.0155,0.78,"Samsung 1uF 50V +/-10% - note X5R not X7R. MOQ 50 (you need 32, so buy 50 = $0.78). C23 MOVED from +3.3V to VDDA 2026-07-30 - it is now the dominant capacitance on the AD7193 DVDD filter output (1 uF + C18 0.1 uF = 1.1 uF), so this X5R part governs that node while the schematic note says X7R for C17/C18. Electrically fine (-55~+85 C, small bias derating at 3.3 V); reconcile the wording or requote in X7R."
"Daughterboard (x8)",C25,Bulk capacitor,10uF,0603,1,8,TBD,,"See capacitor allowance note; C25 added 2026-07-27. C9 REMOVED from this line 2026-07-30 - C9 is 0.1uF, not 10uF; it now sits on the 100nF line. Qty corrected 2->1/board (16->8).",C96446,CL10A106MA8NRNC,0603,510340,0.0921,0.74,"RESOLVES A TBD. Samsung 10uF 25V X5R +/-20%. MOQ 20 (need 8, buy 20). C25 is the +12V bulk feeding the 8 XTR200 VSP pins. DC bias derating at 12 V is ACCEPTED DELIBERATELY: ~2-3 uF effective, still 3-4x the combined C1-C8. Rail needs little - 48 mA max (8 ch x 6 mA) into high-PSRR current sources. Do NOT substitute tantalum. X5R = -55~+85 C; recheck if thermal validation shows >85 C near C25."
"Daughterboard (x8)",D1,Indicator LED,LED,0603,1,8,TBD,,2026-07-27 revision: D2/D3 removed only D1 remains,C2286,KT-0603R,0603,4978400,0.0075,0.75,"RESOLVES A TBD. Red 0603, Vf 1.8-2.4 V @ 20 mA, 300 mcd. MOQ 100 -> $0.75 for the lot."
"Daughterboard (x8)",U9,1-Wire board-ID EEPROM (new),AT21CS01,SOT-23,1,8,TBD,,"New 2026-07-27; likely board/channel identification - confirm part choice and BOM description",C616192,AT21CS01-STUM10-T,SOT-23-3,2660,0.5694,4.56,"RESOLVES A TBD. Microchip 1-Kbit single-wire EEPROM with factory 64-bit serial - exactly the board-ID use case. Alt: C6747066 (AT21CS01-TOHM10-B). Tiers: 10+ $0.451, 100+ $0.3374."
"Daughterboard (x8)",L1,Ferrite bead 600R @ 100 MHz,FerriteBead,0603,1,8,TBD,,"The old '1.5 A' spec was a phantom - it came from the KiCad symbol name FerriteBead_0603_1.5A, not the design. L1 feeds only the AD7193 DVDD pin: 0.4 mA (datasheet DIDD at 3 V, internal oscillator - no crystal fitted). Any 0603 bead is >100x the needed current.",C96708,GZ1608U601CTF,0603,,,,"RESOLVES A TBD. Sunlord 600 ohm @ 100 MHz, 380 mohm DCR, 500 mA, +/-25%, -55~+125 C. JLCPCB EXTENDED part (setup fee applies if using JLCPCB assembly; C1002 GZ1608D601TF is the Basic equivalent, 450 mohm / 200 mA). Unit price not captured - previous candidate C141723 was $0.0118. Damping check: with R27=10 ohm and 1.1 uF on VDDA, Q=0.09, no LC peaking."
"Daughterboard (x8)",J1,Card-edge connector (PCIe x4 pattern),Custom_PCIe_x4,card edge,1,8,0.00,0.00,Edge fingers on the PCB itself - no component cost,N/A,,,,0.00,0.00,PCB feature - nothing to source.
"Daughterboard (x8)","19x test points",Test point pads,TestPoint,pad,19,152,0.00,0.00,Bare pads - no component cost,N/A,,,,0.00,0.00,PCB feature - nothing to source.
Motherboard (x1),A1,Controller,Raspberry Pi Pico (RP2040),SMD module,1,1,7.00,7.00,,C7203002,Raspberry Pi Pico,module,,,,"Listed in the JLCPCB parts library (C7203002) but the LCSC retail product page 404s - it appears to be assembly-only stock, not shippable as a loose part. Keep the $7.00 retail line. (Bare RP2040 chip is C2040 if the design is ever respun.)"
Motherboard (x1),"U1, U5",3-to-8 decoder (ADC / DAC chip select),SN74LV138 (74HC138),SSOP-16,2,2,0.49,0.98,,C485077,SN74LVC138APWR,TSSOP-16,1717,0.7553,1.51,"*** SUBSTITUTION: the LV part (C388843, SN74LV138APW) is listed but 'not available now' with no price. LVC is the in-stock alternative - 1.65-3.6 V, fine at 3.3 V, faster, but check VIH/VIL against the Pico's drive. Also note both LCSC options are TSSOP-16 while the BOM package column says SSOP-16. LCSC is MORE expensive here than the current $0.49 line."
Motherboard (x1),U3,Shift register (XTR front-end enables),SN74LV595,TSSOP-16,1,1,1.00,1.00,,C116847,SN74LV595APWR,TSSOP-16,14545,0.3747,1.87,"Exact match for the firmware's SN74LV595. MOQ 5 -> $1.87 for 5 pcs (spares included). Unit price is 63% below the current BOM line."
Motherboard (x1),"J1-J8",PCIe x4 socket (daughterboard slots),Samtec PCIE-064-02-F-D-TH,through-hole,8,8,2.29,18.32,"DigiKey SAM9742-ND; $2.29 @ qty 1-49 (breaks: $1.864 @ 50, $1.582 @ 100)",C4597619,PCIE-064-02-F-D-TH,through-hole,1,1.6292,13.03,"Exact MPN match and 29% cheaper than DigiKey, but *** ONLY 1 IN STOCK - you need 8. Treat the $13.03 as best-case. Right-angle sibling C4571870 (PCIE-064-02-F-D-RA) has 5 in stock at $7.08 - wrong orientation and 4x the price."
Motherboard (x1),"J9-J11",50-pin FFC connector (channel outputs),Molex 54132-5033,0.5 mm horizontal,3,3,3.00,9.00,"todo.txt flags ambiguity: $3 each (=$9) or $3 total - confirm",NOT STOCKED,54132-5033,0.5mm,0,,,"*** Not at LCSC, and Molex lists 54132-5033 as OBSOLETE. This needs a replacement part regardless of distributor - re-select a current 50-pos 0.5 mm horizontal FFC/FPC ZIF connector."
Motherboard (x1),J12,DC barrel jack with switch pin,Barrel_Jack,through-hole,1,1,1.00,1.00,,C111567,DC005-T20,through-hole R/A,21105,0.2207,1.10,"3-pin DC005 (has the switch contact), 2.0 mm centre pin, 3 A / 12 V, right-angle THT. MOQ 5 -> $1.10 for 5. Confirm the 2.0 mm pin matches your PSU barrel (2.1 mm variants: C319099 / C381116)."
Motherboard (x1),PS1,Isolated DC-DC converter 12 V,XP Power DSM2-12-S3-S,THT,1,1,10.37,10.37,,NOT STOCKED,DSM2-12-S3-S,SIP THT,0,,,"*** Not at LCSC. Also: DigiKey attributes DSM2-12-S3-S to CUI Inc, not XP Power - the BOM manufacturer looks wrong. (12 V in, 3.3 V / 606 mA isolated out.)"
Motherboard (x1),"C1-C3",Decoupling capacitor MLCC 50V,100nF (Wurth 885012206095R),0603,3,3,0.045,0.13,Same RS part as daughterboard decoupling,C14663,CC0603KRX7R9BB104,0603,1723600,0.0242,0.07,Same reel as the daughterboard decoupling line - order once.
PCB fabrication,,Daughterboard PCB (analog),daughterboard,4-layer,1,8,30.00,240.00,,N/A,,,,,,Not an LCSC catalogue item (JLCPCB / your fab).
PCB fabrication,,Motherboard PCB,motherboard,,1,1,3.00,3.00,,N/A,,,,,,Not an LCSC catalogue item (JLCPCB / your fab).
Assembly,,PCB assembly,,,,,TBD,,Not yet quoted (todo.txt: TBA),N/A,,,,,,Still TBD.
TOTAL,,,,,,,,720.58,"Sum of priced lines (populated qty). RS passive prices converted at 1 SEK = 0.1035 USD (Jul 2026), assumed ex-VAT. Was 717.70; +2.88 from the 100nF line going 160->224 units (C26-C33 folded in 2026-08-04). *** THIS TOTAL IS NOW UNDERSTATED: the new OPA2333 buffer stage adds 32 op-amps and 64 1k resistors that are TBD-priced and therefore contribute 0 here. At a plausible $1-2/op-amp that is $32-64 not yet counted. TBD items outstanding: assembly, U13-U16 OPA2333 (32 units, NEW), R28-R35 1k (64 units, NEW), 100k/20k 0603 dividers (72+64 units, needs requote after 0402->0603 footprint change), LEDs, R18 pull-up, U9 EEPROM. ALSO NOT YET IN THE DESIGN: 4x 100nF local decoupling for U13-U16 (one per package at pin 8) - nothing on +3.3V is within 12 mm of any op-amp as placed, so this is 32 more units for the 100nF line once added. RESOLVED 2026-07-30: 10uF caps (C96446), ferrite (C96708), R27 (C144117, value now 10 ohm not 1.5)",,,,,,308.93,"LCSC subtotal for the 17 PRICED lines. Was 307.38; +1.55 (100nF 160->224 units, C26-C33 folded in 2026-08-04 at the same 0.0242 break). NOT PRICED but now C-numbered: L1 ferrite C96708 x8, R27 C144117 x8 - both commodity, expect well under $1 combined. NOT PRICED and NOT C-numbered: U13-U16 OPA2333 x32 and R28-R35 1k x64 (both NEW 2026-08-04, see their rows - the 1k previously carried C154077, which is the 20k part and was wrong). EXCLUDED: XTR200 x64 (not stocked), Pico (assembly-only), Molex FFC x3 (obsolete), DSM2 DC-DC (not stocked), PCB fab and assembly. Prices are LCSC USD list, captured 2026-07-30, at the price break covering the system quantity; they exclude shipping, duty and VAT. Stock figures are a snapshot - LCSC does not hold them."
